True value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
,258,1.827,0.06,0.216,0,0.22,0.953,0.707,0.003,0.036,596
,259,1.845,0.054,0.174,0,0.214,0.958,0.75,0.002,0.03,569
,260,1.81,0.055,0.24,0.007,0.196,0.911,0.775,0.002,0.031,580
,261,1.817,0.052,0.216,0.009,0.191,0.903,0.812,0.004,0.026,526
,262,1.826,0.045,0.216,0.01,0.206,0.857,0.835,0.004,0.031,613
,263,1.811,0.059,0.233,0.006,0.201,0.886,0.789,0.004,0.04,693
,264,1.82,0.054,0.23,0.011,0.186,0.915,0.777,0.001,0.022,721
,265,1.775,0.071,0.272,0.005,0.218,0.9,0.755,0.003,0.032,514
,266,1.786,0.057,0.262,0.005,0.21,0.928,0.756,0.003,0.03,363
,267,1.81,0.065,0.266,0.002,0.202,0.931,0.699,0.003,0.024,537
,268,1.795,0.063,0.244,0,0.227,0.936,0.738,0.003,0.027,543
,269,1.789,0.067,0.279,0.004,0.215,0.902,0.732,0.002,0.026,462
,270,1.777,0.065,0.272,0.001,0.237,0.918,0.734,0.003,0.029,228
,271,1.791,0.068,0.271,0.002,0.205,0.906,0.745,0.003,0.029,484
,272,1.751,0.079,0.314,0.001,0.216,0.918,0.713,0.005,0.029,376
,273,1.776,0.068,0.304,0,0.221,0.91,0.705,0.003,0.032,354
,274,1.768,0.074,0.299,0.001,0.219,0.911,0.718,0.003,0.033,362
,275,1.801,0.059,0.257,0.004,0.198,0.916,0.756,0.002,0.029,324
,276,1.68,0.09,0.419,0.008,0.216,0.921,0.666,0.003,0.03,321
,277,1.809,0.053,0.239,0.004,0.205,0.886,0.802,0.003,0.028,232
,278,1.707,0.078,0.387,0.009,0.205,0.888,0.711,0.003,0.055,364
,279,1.778,0.076,0.27,0.004,0.212,0.895,0.754,0.005,0.031,446
,280,1.778,0.073,0.267,0.007,0.211,0.898,0.759,0.004,0.029,261
,281,1.77,0.076,0.286,0.001,0.24,0.89,0.727,0.004,0.037,577
,282,1.763,0.077,0.283,0.001,0.237,0.889,0.746,0.005,0.033,272
,283,1.776,0.069,0.273,0.003,0.229,0.888,0.754,0.004,0.034,593
,284,1.781,0.074,0.271,0.006,0.215,0.888,0.753,0.003,0.033,739
,285,1.798,0.062,0.238,0.007,0.203,0.903,0.785,0.004,0.032,330
,286,1.756,0.078,0.291,0.001,0.232,0.897,0.742,0.005,0.037,931
,287,1.807,0.057,0.251,0.011,0.182,0.92,0.76,0.003,0.026,370
,288,1.829,0.036,0.234,0.007,0.176,0.897,0.815,0.002,0.038,339
,289,1.695,0.08,0.421,0.004,0.221,0.888,0.676,0.003,0.045,428
